




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27ac.intersect.bed.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27ac.intersect.bed.genes_uniq.txt (2231)	H3K27ac.intersect.bed.genes_uniq.txt (expected)	H3K27ac.intersect.bed.genes_uniq.txt (over/under)	H3K27ac.intersect.bed.genes_uniq.txt (fold Enrichment)	H3K27ac.intersect.bed.genes_uniq.txt (raw P-value)	H3K27ac.intersect.bed.genes_uniq.txt (FDR)
viral life cycle (GO:0019058)	230	44	24.92	+	1.77	9.71E-04	3.55E-02
mitotic chromosome condensation (GO:0007076)	28	11	3.03	+	3.63	9.57E-04	3.51E-02
focal adhesion assembly (GO:0048041)	28	11	3.03	+	3.63	9.57E-04	3.50E-02
lipid oxidation (GO:0034440)	87	22	9.42	+	2.33	9.39E-04	3.48E-02
cell-substrate junction organization (GO:0150115)	43	14	4.66	+	3.01	9.42E-04	3.47E-02
regulation of kinase activity (GO:0043549)	914	135	99.01	+	1.36	9.40E-04	3.47E-02
positive regulation of signal transduction (GO:0009967)	1584	217	171.59	+	1.26	9.34E-04	3.47E-02
regulation of viral transcription (GO:0046782)	43	14	4.66	+	3.01	9.42E-04	3.46E-02
macromolecule methylation (GO:0043414)	257	48	27.84	+	1.72	9.00E-04	3.36E-02
negative regulation of cellular catabolic process (GO:0031330)	257	48	27.84	+	1.72	9.00E-04	3.35E-02
neutrophil degranulation (GO:0043312)	482	79	52.21	+	1.51	8.95E-04	3.34E-02
negative regulation of transferase activity (GO:0051348)	306	55	33.15	+	1.66	8.90E-04	3.34E-02
regulation of microtubule-based process (GO:0032886)	242	46	26.22	+	1.75	8.92E-04	3.34E-02
regulation of dendrite development (GO:0050773)	104	25	11.27	+	2.22	8.49E-04	3.19E-02
positive regulation of proteolysis (GO:0045862)	376	65	40.73	+	1.60	8.43E-04	3.18E-02
regulation of cation channel activity (GO:2001257)	186	6	20.15	-	.30	8.36E-04	3.16E-02
positive regulation of protein ubiquitination (GO:0031398)	123	28	13.32	+	2.10	8.30E-04	3.15E-02
cell death (GO:0008219)	1086	157	117.64	+	1.33	8.18E-04	3.11E-02
response to unfolded protein (GO:0006986)	168	35	18.20	+	1.92	8.11E-04	3.09E-02
regulation of protein dephosphorylation (GO:0035304)	145	32	15.71	+	2.04	7.93E-04	3.03E-02
cell-substrate junction assembly (GO:0007044)	42	14	4.55	+	3.08	7.80E-04	2.99E-02
blood circulation (GO:0008015)	390	21	42.25	-	.50	7.47E-04	2.87E-02
regulation of localization (GO:0032879)	2753	357	298.22	+	1.20	7.23E-04	2.78E-02
nucleocytoplasmic transport (GO:0006913)	261	49	28.27	+	1.73	7.03E-04	2.71E-02
fatty acid oxidation (GO:0019395)	83	22	8.99	+	2.45	6.98E-04	2.70E-02
antimicrobial humoral response (GO:0019730)	154	4	16.68	-	.24	6.69E-04	2.60E-02
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	47	26.54	+	1.77	6.69E-04	2.59E-02
Ras protein signal transduction (GO:0007265)	176	37	19.07	+	1.94	6.58E-04	2.56E-02
negative regulation of telomere maintenance (GO:0032205)	36	13	3.90	+	3.33	6.48E-04	2.54E-02
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030)	36	13	3.90	+	3.33	6.48E-04	2.53E-02
peptide cross-linking (GO:0018149)	102	1	11.05	-	.09	6.38E-04	2.50E-02
positive regulation of cellular protein localization (GO:1903829)	306	56	33.15	+	1.69	6.36E-04	2.50E-02
regulation of inflammatory response (GO:0050727)	518	31	56.11	-	.55	5.94E-04	2.34E-02
positive regulation of viral process (GO:0048524)	89	23	9.64	+	2.39	5.85E-04	2.32E-02
positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740)	26	11	2.82	+	3.91	5.86E-04	2.32E-02
cytoskeleton-dependent cytokinesis (GO:0061640)	96	24	10.40	+	2.31	5.82E-04	2.32E-02
regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739)	26	11	2.82	+	3.91	5.86E-04	2.32E-02
rhythmic process (GO:0048511)	269	51	29.14	+	1.75	5.76E-04	2.30E-02
regulation of programmed cell death (GO:0043067)	1532	213	165.96	+	1.28	5.72E-04	2.29E-02
cell-cell signaling by wnt (GO:0198738)	350	62	37.91	+	1.64	5.68E-04	2.29E-02
Wnt signaling pathway (GO:0016055)	350	62	37.91	+	1.64	5.68E-04	2.28E-02
negative regulation of cellular component organization (GO:0051129)	724	112	78.43	+	1.43	5.61E-04	2.26E-02
regulation of protein kinase activity (GO:0045859)	802	122	86.88	+	1.40	5.49E-04	2.22E-02
response to bacterium (GO:0009617)	721	48	78.10	-	.61	5.20E-04	2.11E-02
positive regulation of mRNA catabolic process (GO:0061014)	105	26	11.37	+	2.29	5.12E-04	2.08E-02
regulation of growth (GO:0040008)	661	104	71.60	+	1.45	5.10E-04	2.08E-02
regulation of response to reactive oxygen species (GO:1901031)	30	12	3.25	+	3.69	5.00E-04	2.05E-02
cellular response to hypoxia (GO:0071456)	193	40	20.91	+	1.91	5.00E-04	2.04E-02
regulation of Wnt signaling pathway (GO:0030111)	377	66	40.84	+	1.62	4.92E-04	2.02E-02
innate immune response (GO:0045087)	848	59	91.86	-	.64	4.83E-04	1.99E-02
regulation of protein phosphorylation (GO:0001932)	1218	175	131.94	+	1.33	4.69E-04	1.94E-02
response to insulin (GO:0032868)	241	47	26.11	+	1.80	4.33E-04	1.79E-02
response to light stimulus (GO:0009416)	316	58	34.23	+	1.69	4.09E-04	1.70E-02
nucleus organization (GO:0006997)	148	33	16.03	+	2.06	3.87E-04	1.61E-02
vesicle organization (GO:0016050)	313	58	33.91	+	1.71	3.80E-04	1.59E-02
regulation of mitochondrion organization (GO:0010821)	160	35	17.33	+	2.02	3.81E-04	1.59E-02
regulation of cell death (GO:0010941)	1668	231	180.69	+	1.28	3.77E-04	1.58E-02
regulation of protein transport (GO:0051223)	556	91	60.23	+	1.51	3.60E-04	1.51E-02
cytokinesis (GO:0000910)	98	25	10.62	+	2.35	3.57E-04	1.51E-02
regulation of RNA export from nucleus (GO:0046831)	12	8	1.30	+	6.15	3.52E-04	1.49E-02
regulation of cellular ketone metabolic process (GO:0010565)	192	40	20.80	+	1.92	3.44E-04	1.46E-02
cellular response to glucose starvation (GO:0042149)	48	16	5.20	+	3.08	3.38E-04	1.44E-02
response to topologically incorrect protein (GO:0035966)	191	40	20.69	+	1.93	3.24E-04	1.38E-02
negative regulation of apoptotic signaling pathway (GO:2001234)	230	46	24.92	+	1.85	3.16E-04	1.35E-02
positive regulation of cellular protein catabolic process (GO:1903364)	156	35	16.90	+	2.07	3.09E-04	1.33E-02
response to nutrient levels (GO:0031667)	501	84	54.27	+	1.55	3.09E-04	1.33E-02
regulation of establishment of protein localization to mitochondrion (GO:1903747)	73	21	7.91	+	2.66	3.02E-04	1.30E-02
response to hypoxia (GO:0001666)	347	63	37.59	+	1.68	2.87E-04	1.24E-02
cellular response to extracellular stimulus (GO:0031668)	269	52	29.14	+	1.78	2.85E-04	1.24E-02
regulation of establishment of protein localization (GO:0070201)	581	95	62.94	+	1.51	2.86E-04	1.24E-02
negative regulation of chromosome organization (GO:2001251)	79	22	8.56	+	2.57	2.84E-04	1.24E-02
protein polyubiquitination (GO:0000209)	325	60	35.21	+	1.70	2.61E-04	1.14E-02
positive regulation of catalytic activity (GO:0043085)	1240	180	134.33	+	1.34	2.59E-04	1.14E-02
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	78	22	8.45	+	2.60	2.52E-04	1.10E-02
regulation of cell-substrate junction organization (GO:0150116)	70	21	7.58	+	2.77	2.33E-04	1.02E-02
positive regulation of molecular function (GO:0044093)	1618	227	175.27	+	1.30	2.28E-04	1.01E-02
response to ionizing radiation (GO:0010212)	148	34	16.03	+	2.12	2.21E-04	9.76E-03
positive regulation of mRNA metabolic process (GO:1903313)	136	32	14.73	+	2.17	2.12E-04	9.42E-03
establishment of organelle localization (GO:0051656)	398	71	43.11	+	1.65	2.04E-04	9.09E-03
Golgi vesicle transport (GO:0048193)	398	71	43.11	+	1.65	2.04E-04	9.06E-03
positive regulation of establishment of protein localization (GO:1904951)	347	64	37.59	+	1.70	2.02E-04	9.06E-03
positive regulation of cellular component organization (GO:0051130)	1161	171	125.77	+	1.36	2.02E-04	9.06E-03
response to endogenous stimulus (GO:0009719)	1426	204	154.47	+	1.32	1.92E-04	8.66E-03
microtubule cytoskeleton organization (GO:0000226)	567	94	61.42	+	1.53	1.91E-04	8.63E-03
mitochondrion organization (GO:0007005)	468	81	50.70	+	1.60	1.91E-04	8.61E-03
regulation of apoptotic signaling pathway (GO:2001233)	354	65	38.35	+	1.70	1.73E-04	7.84E-03
transcription initiation from RNA polymerase II promoter (GO:0006367)	152	35	16.47	+	2.13	1.65E-04	7.53E-03
regulation of chromosome organization (GO:0033044)	290	56	31.41	+	1.78	1.63E-04	7.47E-03
regulation of focal adhesion assembly (GO:0051893)	65	20	7.04	+	2.84	1.59E-04	7.33E-03
regulation of cell-substrate junction assembly (GO:0090109)	65	20	7.04	+	2.84	1.59E-04	7.30E-03
immune response (GO:0006955)	2075	170	224.78	-	.76	1.54E-04	7.14E-03
response to UV (GO:0009411)	151	35	16.36	+	2.14	1.55E-04	7.13E-03
dephosphorylation (GO:0016311)	317	60	34.34	+	1.75	1.53E-04	7.11E-03
cellular response to oxygen levels (GO:0071453)	220	46	23.83	+	1.93	1.53E-04	7.09E-03
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	10	29.14	-	.34	1.48E-04	6.90E-03
establishment of protein localization to organelle (GO:0072594)	394	71	42.68	+	1.66	1.42E-04	6.66E-03
mRNA processing (GO:0006397)	486	84	52.65	+	1.60	1.41E-04	6.63E-03
sister chromatid segregation (GO:0000819)	149	35	16.14	+	2.17	1.38E-04	6.51E-03
regulation of developmental process (GO:0050793)	2461	330	266.59	+	1.24	1.38E-04	6.49E-03
regulation of complement activation (GO:0030449)	118	1	12.78	-	.08	1.34E-04	6.36E-03
response to organic substance (GO:0010033)	3008	395	325.85	+	1.21	1.33E-04	6.32E-03
signal transduction by p53 class mediator (GO:0072331)	119	30	12.89	+	2.33	1.31E-04	6.22E-03
defense response to other organism (GO:0098542)	1038	73	112.44	-	.65	1.24E-04	5.90E-03
regulation of DNA-templated transcription in response to stress (GO:0043620)	118	30	12.78	+	2.35	1.22E-04	5.83E-03
protein deubiquitination (GO:0016579)	278	55	30.11	+	1.83	1.18E-04	5.69E-03
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	6	22.53	-	.27	1.16E-04	5.60E-03
spindle organization (GO:0007051)	224	47	24.27	+	1.94	1.15E-04	5.57E-03
negative regulation of organelle organization (GO:0010639)	334	63	36.18	+	1.74	1.13E-04	5.46E-03
vesicle-mediated transport (GO:0016192)	1969	272	213.30	+	1.28	1.12E-04	5.46E-03
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	33	14.62	+	2.26	1.11E-04	5.44E-03
cytoskeleton organization (GO:0007010)	1212	179	131.29	+	1.36	1.07E-04	5.25E-03
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	9	27.95	-	.32	1.05E-04	5.17E-03
membrane organization (GO:0061024)	972	149	105.29	+	1.42	1.05E-04	5.16E-03
response to decreased oxygen levels (GO:0036293)	361	67	39.11	+	1.71	1.03E-04	5.09E-03
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	161	37	17.44	+	2.12	1.02E-04	5.05E-03
regulation of humoral immune response (GO:0002920)	142	2	15.38	-	.13	1.01E-04	5.00E-03
regulation of response to stimulus (GO:0048583)	4306	547	466.46	+	1.17	9.72E-05	4.91E-03
regulation of canonical Wnt signaling pathway (GO:0060828)	298	58	32.28	+	1.80	9.82E-05	4.90E-03
DNA-templated transcription, initiation (GO:0006352)	195	43	21.12	+	2.04	9.73E-05	4.90E-03
fatty acid catabolic process (GO:0009062)	89	25	9.64	+	2.59	9.65E-05	4.89E-03
negative regulation of TOR signaling (GO:0032007)	42	16	4.55	+	3.52	9.73E-05	4.88E-03
viral process (GO:0016032)	444	79	48.10	+	1.64	9.74E-05	4.87E-03
regulation of cellular protein catabolic process (GO:1903362)	256	52	27.73	+	1.88	9.45E-05	4.80E-03
RNA processing (GO:0006396)	930	144	100.74	+	1.43	9.35E-05	4.77E-03
response to oxygen levels (GO:0070482)	388	71	42.03	+	1.69	9.28E-05	4.75E-03
double-strand break repair (GO:0006302)	204	44	22.10	+	1.99	9.17E-05	4.70E-03
protein modification by small protein removal (GO:0070646)	295	58	31.96	+	1.81	8.80E-05	4.53E-03
organelle localization (GO:0051640)	609	102	65.97	+	1.55	8.42E-05	4.35E-03
negative regulation of intracellular signal transduction (GO:1902532)	507	88	54.92	+	1.60	8.24E-05	4.27E-03
cellular response to decreased oxygen levels (GO:0036294)	202	44	21.88	+	2.01	8.19E-05	4.26E-03
apoptotic process (GO:0006915)	913	142	98.90	+	1.44	8.14E-05	4.25E-03
RNA splicing, via transesterification reactions (GO:0000375)	306	60	33.15	+	1.81	8.09E-05	4.24E-03
macroautophagy (GO:0016236)	199	44	21.56	+	2.04	7.21E-05	3.79E-03
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	3	18.09	-	.17	7.04E-05	3.72E-03
RNA splicing (GO:0008380)	409	75	44.31	+	1.69	7.06E-05	3.72E-03
regulation of proteasomal protein catabolic process (GO:0061136)	187	42	20.26	+	2.07	6.97E-05	3.70E-03
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	79	24	8.56	+	2.80	6.82E-05	3.63E-03
endomembrane system organization (GO:0010256)	530	92	57.41	+	1.60	6.53E-05	3.49E-03
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	108	29	11.70	+	2.48	6.19E-05	3.32E-03
microtubule-based process (GO:0007017)	806	129	87.31	+	1.48	6.14E-05	3.31E-03
negative regulation of cellular protein metabolic process (GO:0032269)	1040	159	112.66	+	1.41	6.15E-05	3.31E-03
chromatin remodeling (GO:0006338)	173	40	18.74	+	2.13	6.03E-05	3.27E-03
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	26	9.86	+	2.64	5.68E-05	3.09E-03
regulation of lipid metabolic process (GO:0019216)	379	71	41.06	+	1.73	5.38E-05	2.93E-03
positive regulation of protein transport (GO:0051222)	331	64	35.86	+	1.78	5.20E-05	2.86E-03
mRNA splicing, via spliceosome (GO:0000398)	303	60	32.82	+	1.83	5.20E-05	2.86E-03
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	60	32.82	+	1.83	5.20E-05	2.85E-03
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	96	27	10.40	+	2.60	4.95E-05	2.75E-03
cellular response to starvation (GO:0009267)	190	43	20.58	+	2.09	4.96E-05	2.74E-03
regulation of TORC1 signaling (GO:1903432)	39	16	4.22	+	3.79	4.80E-05	2.67E-03
response to endoplasmic reticulum stress (GO:0034976)	260	54	28.17	+	1.92	4.75E-05	2.65E-03
regulation of phosphorylation (GO:0042325)	1391	204	150.68	+	1.35	4.68E-05	2.62E-03
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	112	30	12.13	+	2.47	4.63E-05	2.60E-03
positive regulation of establishment of protein localization to mitochondrion (GO:1903749)	58	20	6.28	+	3.18	4.38E-05	2.47E-03
regulation of cellular localization (GO:0060341)	841	134	91.10	+	1.47	4.36E-05	2.47E-03
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	6	24.05	-	.25	4.32E-05	2.46E-03
negative regulation of cell cycle G2/M phase transition (GO:1902750)	111	30	12.02	+	2.49	4.19E-05	2.39E-03
negative regulation of translation (GO:0017148)	184	42	19.93	+	2.11	4.14E-05	2.38E-03
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	184	42	19.93	+	2.11	4.14E-05	2.37E-03
B cell receptor signaling pathway (GO:0050853)	129	1	13.97	-	.07	4.07E-05	2.35E-03
negative regulation of cellular amide metabolic process (GO:0034249)	206	46	22.32	+	2.06	3.84E-05	2.22E-03
cellular response to nutrient levels (GO:0031669)	240	51	26.00	+	1.96	3.79E-05	2.20E-03
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	34	14.52	+	2.34	3.73E-05	2.17E-03
negative regulation of protein metabolic process (GO:0051248)	1112	170	120.46	+	1.41	3.69E-05	2.16E-03
regulation of molecular function (GO:0065009)	3118	414	337.76	+	1.23	3.57E-05	2.10E-03
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	109	30	11.81	+	2.54	3.51E-05	2.07E-03
keratinization (GO:0031424)	227	6	24.59	-	.24	3.12E-05	1.87E-03
DNA integrity checkpoint signaling (GO:0031570)	150	37	16.25	+	2.28	3.12E-05	1.86E-03
transport (GO:0006810)	4476	572	484.87	+	1.18	3.13E-05	1.86E-03
regulation of transferase activity (GO:0051338)	1033	160	111.90	+	1.43	3.09E-05	1.86E-03
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	31	12.46	+	2.49	3.13E-05	1.85E-03
regulation of response to DNA damage stimulus (GO:2001020)	223	49	24.16	+	2.03	3.05E-05	1.84E-03
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	49	24.05	+	2.04	2.96E-05	1.79E-03
protein acylation (GO:0043543)	178	42	19.28	+	2.18	2.86E-05	1.74E-03
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	40	17.98	+	2.22	2.58E-05	1.58E-03
peptidyl-lysine acetylation (GO:0018394)	119	32	12.89	+	2.48	2.36E-05	1.45E-03
regulation of cellular component biogenesis (GO:0044087)	974	153	105.51	+	1.45	2.36E-05	1.44E-03
chromosome segregation (GO:0007059)	286	59	30.98	+	1.90	2.15E-05	1.33E-03
internal protein amino acid acetylation (GO:0006475)	118	32	12.78	+	2.50	2.12E-05	1.31E-03
internal peptidyl-lysine acetylation (GO:0018393)	116	32	12.57	+	2.55	1.74E-05	1.08E-03
regulation of phosphate metabolic process (GO:0019220)	1578	231	170.94	+	1.35	1.71E-05	1.07E-03
regulation of phosphorus metabolic process (GO:0051174)	1578	231	170.94	+	1.35	1.71E-05	1.07E-03
response to abiotic stimulus (GO:0009628)	1175	180	127.28	+	1.41	1.68E-05	1.06E-03
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	58	21	6.28	+	3.34	1.57E-05	9.95E-04
immunoglobulin mediated immune response (GO:0016064)	201	4	21.77	-	.18	1.48E-05	9.39E-04
negative regulation of gene expression (GO:0010629)	999	158	108.22	+	1.46	1.47E-05	9.35E-04
protein acetylation (GO:0006473)	138	36	14.95	+	2.41	1.45E-05	9.29E-04
mitotic sister chromatid segregation (GO:0000070)	121	33	13.11	+	2.52	1.43E-05	9.19E-04
response to stress (GO:0006950)	3626	478	392.79	+	1.22	1.31E-05	8.52E-04
negative regulation of signaling (GO:0023057)	1405	210	152.20	+	1.38	1.32E-05	8.52E-04
peptidyl-lysine modification (GO:0018205)	305	63	33.04	+	1.91	1.15E-05	7.50E-04
regulation of autophagy (GO:0010506)	331	67	35.86	+	1.87	1.14E-05	7.42E-04
response to starvation (GO:0042594)	232	52	25.13	+	2.07	1.13E-05	7.42E-04
regulation of mRNA stability (GO:0043488)	241	53	26.11	+	2.03	1.09E-05	7.20E-04
DNA damage checkpoint signaling (GO:0000077)	142	37	15.38	+	2.41	1.08E-05	7.15E-04
regulation of cell cycle G1/S phase transition (GO:1902806)	178	43	19.28	+	2.23	1.08E-05	7.14E-04
negative regulation of cell communication (GO:0010648)	1401	210	151.77	+	1.38	1.06E-05	7.08E-04
B cell mediated immunity (GO:0019724)	205	4	22.21	-	.18	1.03E-05	6.95E-04
mitotic G1/S transition checkpoint signaling (GO:0044819)	71	24	7.69	+	3.12	1.03E-05	6.93E-04
regulation of intracellular transport (GO:0032386)	364	72	39.43	+	1.83	9.19E-06	6.21E-04
mitotic DNA integrity checkpoint signaling (GO:0044774)	123	34	13.32	+	2.55	8.72E-06	5.91E-04
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	70	24	7.58	+	3.17	8.52E-06	5.80E-04
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	40	16.90	+	2.37	8.41E-06	5.75E-04
regulation of cellular amide metabolic process (GO:0034248)	479	89	51.89	+	1.72	7.89E-06	5.42E-04
regulation of TOR signaling (GO:0032006)	100	30	10.83	+	2.77	7.85E-06	5.42E-04
defense response (GO:0006952)	1426	101	154.47	-	.65	7.75E-06	5.40E-04
mitotic spindle organization (GO:0007052)	163	41	17.66	+	2.32	7.65E-06	5.40E-04
protein dephosphorylation (GO:0006470)	212	49	22.97	+	2.13	7.77E-06	5.39E-04
positive regulation of protein modification process (GO:0031401)	1079	170	116.89	+	1.45	7.66E-06	5.38E-04
regulation of intracellular protein transport (GO:0033157)	256	56	27.73	+	2.02	7.69E-06	5.38E-04
regulation of translation (GO:0006417)	415	80	44.96	+	1.78	7.57E-06	5.36E-04
regulation of cell cycle G2/M phase transition (GO:1902749)	222	51	24.05	+	2.12	7.34E-06	5.23E-04
regulation of RNA stability (GO:0043487)	253	56	27.41	+	2.04	6.70E-06	4.79E-04
regulation of protein localization (GO:0032880)	894	146	96.84	+	1.51	6.60E-06	4.74E-04
negative regulation of RNA biosynthetic process (GO:1902679)	1301	199	140.93	+	1.41	6.47E-06	4.69E-04
protein-containing complex assembly (GO:0065003)	1358	206	147.11	+	1.40	6.49E-06	4.69E-04
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	69	36.61	+	1.88	6.39E-06	4.65E-04
mitotic DNA damage checkpoint signaling (GO:0044773)	119	34	12.89	+	2.64	6.33E-06	4.63E-04
DNA replication (GO:0006260)	273	59	29.57	+	2.00	6.05E-06	4.45E-04
positive regulation of intracellular transport (GO:0032388)	228	52	24.70	+	2.11	6.03E-06	4.45E-04
histone acetylation (GO:0016573)	110	32	11.92	+	2.69	5.84E-06	4.33E-04
signal transduction in response to DNA damage (GO:0042770)	167	42	18.09	+	2.32	5.74E-06	4.28E-04
establishment of localization (GO:0051234)	4631	598	501.66	+	1.19	5.68E-06	4.25E-04
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	199	140.72	+	1.41	5.25E-06	3.95E-04
protein ubiquitination (GO:0016567)	746	127	80.81	+	1.57	5.22E-06	3.95E-04
negative regulation of cell cycle G1/S phase transition (GO:1902807)	115	33	12.46	+	2.65	5.19E-06	3.94E-04
negative regulation of transcription, DNA-templated (GO:0045892)	1297	199	140.50	+	1.42	5.11E-06	3.90E-04
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	50	22.97	+	2.18	4.59E-06	3.52E-04
response to radiation (GO:0009314)	452	86	48.96	+	1.76	4.54E-06	3.50E-04
regulation of small molecule metabolic process (GO:0062012)	421	82	45.61	+	1.80	4.28E-06	3.32E-04
positive regulation of protein catabolic process (GO:0045732)	237	54	25.67	+	2.10	3.67E-06	2.86E-04
proteolysis (GO:0006508)	1306	201	141.48	+	1.42	3.61E-06	2.82E-04
negative regulation of signal transduction (GO:0009968)	1305	201	141.37	+	1.42	3.56E-06	2.80E-04
positive regulation of intracellular protein transport (GO:0090316)	185	46	20.04	+	2.30	3.09E-06	2.45E-04
phosphate-containing compound metabolic process (GO:0006796)	1808	265	195.86	+	1.35	3.10E-06	2.45E-04
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	33	12.02	+	2.74	2.99E-06	2.38E-04
regulation of catalytic activity (GO:0050790)	2433	342	263.56	+	1.30	2.87E-06	2.30E-04
peptidyl-amino acid modification (GO:0018193)	886	147	95.98	+	1.53	2.82E-06	2.27E-04
